id,title,original_title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
1,Breaking Bad,Breaking Bad,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008-01-20,108.782,"Drama, Crime",United States,English,8.9,16556
2,Avatar: The Last Airbender,Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005-02-21,12.5347,"Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,8.8,4557
3,Arcane,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",2021-11-06,22.5739,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure",United States,English,8.8,5481
4,When Life Gives You Tangerines,폭싹 속았수다,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",2025-03-07,18.5771,Drama,South Korea,Korean,8.751,423
5,Frieren: Beyond Journey's End,葬送のフリーレン,"Decades after her party defeated the Demon King, an old friend's funeral launches the elf wizard Frieren on a journey of self-discovery.",2023-09-29,28.3761,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",Japan,Japanese,8.735,565
6,One Piece,ワンピース,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates.

Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way.

Luffy will do anything to get the One Piece and become King of the Pirates!",1999-10-20,31.227,"Action & Adventure, Comedy, Animation",Japan,Japanese,8.7,5043
7,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"Disregard for alchemy’s laws ripped half of Edward Elric’s limbs from his body and left his brother Alphonse’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric brothers course, but their purpose will remain unchanged and their bond unbreakable.",2009-04-05,15.9934,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",Japan,Japanese,8.7,2291
8,The Chosen,The Chosen,The life of Christ through the eyes of those who encountered him.,2019-04-21,33.9177,"Drama, Family, Action & Adventure",United States,English,8.7,689
9,Better Call Saul,Better Call Saul,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".",2015-02-08,37.4222,"Crime, Drama",United States,English,8.699,5992
10,Chernobyl,Chernobyl,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,2019-05-06,25.0952,Drama,United States,English,8.692,7275
11,Rick and Morty,Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",2013-12-02,54.6626,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",United States,English,8.684,10507
12,Adventure Time: Fionna & Cake,Adventure Time: Fionna & Cake,"Fionna and Cake – with the help of the former Ice King, Simon Petrikov - embark on a multiverse-hopping adventure and journey of self-discovery. All the while a powerful new antagonist determined to track them down and erase them from existence, lurks in the shadows.",2023-08-31,23.3796,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",United States,English,8.679,274
